frame_number,frame_time,frame_len,eth_src,eth_dst,eth_type,ip_version,ip_src,ip_dst,ip_hl,ip_len,ip_proto,ip_ttl,tcp_srcport,tcp_dstport,tcp_seq,tcp_ack,tcp_len,tcp_flags
243,"Feb  9, 2024 16:19:44.675711000 Central Standard Time",117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.54.238.225,10.0.5.220,20,103,6,244,443,37404,3566,644,51,0x0018
244,"Feb  9, 2024 16:19:44.678252000 Central Standard Time",578,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.54.238.225,20,564,6,64,37404,443,644,3617,512,0x0018
245,"Feb  9, 2024 16:19:44.725682000 Central Standard Time",629,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.54.238.225,10.0.5.220,20,615,6,244,443,37404,3617,1156,563,0x0018
246,"Feb  9, 2024 16:19:44.756111000 Central Standard Time",86,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,10.0.5.1,20,72,17,64,,,,,,
247,"Feb  9, 2024 16:19:44.763871000 Central Standard Time",118,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,10.0.5.1,10.0.5.220,20,104,17,64,,,,,,
248,"Feb  9, 2024 16:19:44.765719000 Central Standard Time",74,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,60,6,64,40160,443,0,0,0,0x0002
249,"Feb  9, 2024 16:19:44.789610000 Central Standard Time",74,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,60,6,236,443,40160,0,1,0,0x0012
250,"Feb  9, 2024 16:19:44.790671000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40160,443,1,1,0,0x0010
251,"Feb  9, 2024 16:19:44.790997000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.54.238.225,20,52,6,64,37404,443,1156,4180,0,0x0010
252,"Feb  9, 2024 16:19:44.792176000 Central Standard Time",583,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,569,6,64,40160,443,1,1,517,0x0018
253,"Feb  9, 2024 16:19:44.816658000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,52,6,236,443,40160,1,518,0,0x0010
254,"Feb  9, 2024 16:19:44.817493000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,1500,6,236,443,40160,1,518,1448,0x0010
255,"Feb  9, 2024 16:19:44.817513000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,1500,6,236,443,40160,1449,518,1448,0x0010
256,"Feb  9, 2024 16:19:44.817523000 Central Standard Time",593,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,579,6,236,443,40160,2897,518,527,0x0018
257,"Feb  9, 2024 16:19:44.843421000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40160,443,518,1449,0,0x0010
258,"Feb  9, 2024 16:19:44.843573000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40160,443,518,2897,0,0x0010
259,"Feb  9, 2024 16:19:44.843719000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40160,443,518,3424,0,0x0010
260,"Feb  9, 2024 16:19:44.845448000 Central Standard Time",192,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,178,6,64,40160,443,518,3424,126,0x0018
261,"Feb  9, 2024 16:19:44.869513000 Central Standard Time",117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,103,6,236,443,40160,3424,644,51,0x0018
262,"Feb  9, 2024 16:19:44.874642000 Central Standard Time",977,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,963,6,64,40160,443,644,3475,911,0x0018
263,"Feb  9, 2024 16:19:44.904767000 Central Standard Time",286,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,272,6,236,443,40160,3475,1555,220,0x0018
264,"Feb  9, 2024 16:19:44.931926000 Central Standard Time",74,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,60,6,64,38922,9999,0,0,0,0x0002
265,"Feb  9, 2024 16:19:44.967649000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40160,443,1555,3695,0,0x0010
266,"Feb  9, 2024 16:19:45.001975000 Central Standard Time",42,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0806,,,,,,,,,,,,,
267,"Feb  9, 2024 16:19:45.769729000 Central Standard Time",42,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0806,,,,,,,,,,,,,
268,"Feb  9, 2024 16:19:45.954542000 Central Standard Time",74,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,60,6,64,38922,9999,0,0,0,0x0002
269,"Feb  9, 2024 16:19:46.516986000 Central Standard Time",42,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0806,,,,,,,,,,,,,
